proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
tcp,192.168.100.150,45462.0,192.168.100.6,80.0,1,0,154,0,REQ,1528097055.07509,1528097055.07509,0.0,1,DDoS
tcp,192.168.100.147,30357.0,192.168.100.5,80.0,6,0,924,0,REQ,1528096618.706263,1528096638.137113,19.430849,1,DDoS
tcp,192.168.100.149,49398.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096876.339587,1528096876.339587,0.0,1,DDoS
udp,192.168.100.149,36075.0,192.168.100.6,80.0,9,0,540,0,INT,1528100697.299337,1528100738.14742,40.848083,1,DDoS
tcp,192.168.100.149,12026.0,192.168.100.7,80.0,2,0,308,0,REQ,1528098027.832322,1528098031.02581,3.193488,1,DDoS
udp,192.168.100.149,12436,192.168.100.5,80,3,0,180,0,INT,1528099983.147589,1528100015.178159,32.030571,1,DDoS
tcp,192.168.100.148,28805.0,192.168.100.7,80.0,5,0,770,0,REQ,1528098001.290305,1528098020.078488,18.788183,1,DDoS
udp,192.168.100.148,63195,192.168.100.3,80,10,0,600,0,INT,1528099825.434048,1528099841.625074,16.191027,1,DDoS
tcp,192.168.100.148,46436.0,192.168.100.6,80.0,4,1,616,60,REQ,1528097491.381543,1528097543.583183,52.201641,1,DDoS
udp,192.168.100.147,25905,192.168.100.3,80,13,0,780,0,INT,1528099460.936804,1528099476.149017,15.212213,1,DDoS
tcp,192.168.100.148,22672.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096851.922903,1528096871.348544,19.42564,1,DDoS
udp,192.168.100.149,52552,192.168.100.3,80,10,0,600,0,INT,1528099803.433735,1528099823.197034,19.7633,1,DDoS
tcp,192.168.100.150,36196.0,192.168.100.6,80.0,4,1,616,60,REQ,1528097138.628889,1528097190.933115,52.304226,1,DDoS
tcp,192.168.100.149,30079.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096389.00609,1528096399.491215,10.485125,1,DDoS
udp,192.168.100.149,31345,192.168.100.3,80,6,0,360,0,INT,1528099323.996298,1528099336.095054,12.098756,1,DDoS
tcp,192.168.100.149,27894.0,192.168.100.3,80.0,5,1,676,60,RST,1528095748.937846,1528095761.118837,12.180991,1,DDoS
udp,192.168.100.150,17204.0,192.168.100.5,80.0,9,0,540,0,INT,1528100461.998362,1528100499.25491,37.25655,1,DDoS
udp,192.168.100.148,49163.0,192.168.100.7,80.0,12,0,720,0,INT,1528101689.279368,1528101727.562389,38.28302,1,DDoS
tcp,192.168.100.148,11949.0,192.168.100.3,80.0,7,2,890,120,RST,1528095780.074974,1528095823.12095,43.045975,1,DDoS
