proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
udp,192.168.100.150,14978,192.168.100.7,80,2,0,120,0,INT,1528101600.507233,1528101605.388947,4.881714,1,DDoS
udp,192.168.100.148,40183,192.168.100.3,80,3,0,180,0,INT,1528099606.287293,1528099611.21671,4.929417,1,DDoS
tcp,192.168.100.148,12155.0,192.168.100.5,80.0,4,1,616,60,RST,1528096455.787189,1528096479.128406,23.341217,1,DDoS
tcp,192.168.100.149,18345.0,192.168.100.3,80.0,6,1,830,60,RST,1528095763.997038,1528095778.238193,14.241155,1,DDoS
udp,192.168.100.149,15438,192.168.100.5,80,8,0,480,0,INT,1528100595.259026,1528100633.710324,38.451298,1,DDoS
udp,192.168.100.150,42158.0,192.168.100.3,80.0,6,0,360,0,INT,1528099900.530807,1528099911.940525,11.409718,1,DDoS
tcp,192.168.100.148,54447.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096644.032665,1528096644.032665,0.0,1,DDoS
tcp,192.168.100.149,44483.0,192.168.100.5,80.0,1,1,154,60,RST,1528096458.465023,1528096458.545901,0.080878,1,DDoS
tcp,192.168.100.150,12360.0,192.168.100.3,80.0,5,0,770,0,REQ,1528096264.56831,1528096286.666066,22.097755,1,DDoS
udp,192.168.100.148,58065,192.168.100.7,80,5,0,300,0,INT,1528101340.554315,1528101352.788527,12.234212,1,DDoS
udp,192.168.100.149,16689,192.168.100.5,80,4,0,240,0,INT,1528100545.654702,1528100562.091175,16.436474,1,DDoS
udp,192.168.100.150,42586.0,192.168.100.6,80.0,2,0,120,0,INT,1528101273.238605,1528101289.296559,16.057955,1,DDoS
tcp,192.168.100.150,53630.0,192.168.100.3,80.0,5,1,676,60,REQ,1528096172.285417,1528096193.904529,21.619112,1,DDoS
udp,192.168.100.150,53170,192.168.100.7,80,3,0,180,0,INT,1528101646.244213,1528101656.15043,9.906217,1,DDoS
udp,192.168.100.148,39667.0,192.168.100.7,80.0,6,0,360,0,INT,1528101824.448355,1528101839.006402,14.558047,1,DDoS
tcp,192.168.100.150,43171.0,192.168.100.3,80.0,6,1,830,60,RST,1528096171.908389,1528096201.179777,29.271387,1,DDoS
