proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
udp,192.168.100.148,37891,192.168.100.3,80,11,0,660,0,INT,1528099724.927989,1528099740.803509,15.87552,1,DDoS
tcp,192.168.100.149,24755.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095748.801594,1528095760.715902,11.914308,1,DDoS
tcp,192.168.100.147,56168.0,192.168.100.3,80.0,5,2,582,120,RST,1528096368.512455,1528096375.971472,7.459017,1,DDoS
tcp,192.168.100.149,24762.0,192.168.100.3,80.0,6,1,830,60,RST,1528096351.671962,1528096367.787877,16.115915,1,DDoS
udp,192.168.100.150,39226,192.168.100.5,80,9,0,540,0,INT,1528100415.221438,1528100458.638007,43.416569,1,DDoS
udp,192.168.100.147,64041,192.168.100.3,80,12,0,720,0,INT,1528099784.583109,1528099799.445858,14.862749,1,DDoS
udp,192.168.100.147,30942,192.168.100.5,80,13,0,780,0,INT,1528100196.808744,1528100229.496034,32.68729,1,DDoS
udp,192.168.100.150,14936,192.168.100.5,80,1,0,60,0,INT,1528100371.390782,1528100371.390782,0.0,1,DDoS
tcp,192.168.100.150,32120.0,192.168.100.3,80.0,5,1,676,60,RST,1528095867.229657,1528095896.979744,29.750088,1,DDoS
udp,192.168.100.148,33903,192.168.100.5,80,2,0,120,0,INT,1528100101.050019,1528100103.724854,2.674835,1,DDoS
tcp,192.168.100.150,4330.0,192.168.100.5,80.0,4,1,616,60,RST,1528096719.091419,1528096737.163393,18.071974,1,DDoS
udp,192.168.100.150,54909,192.168.100.7,80,9,0,540,0,INT,1528101732.21554,1528101773.919201,41.703663,1,DDoS
tcp,192.168.100.148,55848.0,192.168.100.3,80.0,4,1,522,60,RST,1528096099.382432,1528096105.942556,6.560124,1,DDoS
tcp,192.168.100.149,45522.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096548.854406,1528096560.694641,11.840235,1,DDoS
tcp,192.168.100.148,40552.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096871.90091,1528096875.777034,3.876124,1,DDoS
tcp,192.168.100.148,46331.0,192.168.100.7,80.0,1,0,154,0,REQ,1528098027.493781,1528098027.493781,0.0,1,DDoS
tcp,192.168.100.149,45579.0,192.168.100.5,80.0,6,0,924,0,REQ,1528096819.676702,1528096842.559856,22.883154,1,DDoS
tcp,192.168.100.150,50579.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095967.892381,1528095979.684609,11.792228,1,DDoS
udp,192.168.100.148,37473,192.168.100.5,80,2,0,120,0,INT,1528100101.150316,1528100103.829854,2.679538,1,DDoS
udp,192.168.100.148,26002,192.168.100.3,80,4,0,240,0,INT,1528099940.982514,1528099945.55635,4.573836,1,DDoS
udp,192.168.100.147,32916,192.168.100.5,80,3,0,180,0,INT,1528100099.585005,1528100108.008957,8.423952,1,DDoS
tcp,192.168.100.147,44325.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096820.250178,1528096844.479032,24.228853,1,DDoS
udp,192.168.100.148,59789,192.168.100.3,80,10,0,600,0,INT,1528099825.297013,1528099841.488696,16.191683,1,DDoS
udp,192.168.100.150,43734,192.168.100.3,80,8,0,480,0,INT,1528099707.065072,1528099722.825133,15.760061,1,DDoS
udp,192.168.100.147,11786,192.168.100.7,80,10,0,600,0,INT,1528101730.531228,1528101774.644542,44.113316,1,DDoS
tcp,192.168.100.150,49777.0,192.168.100.3,80.0,8,2,1044,120,REQ,1528095904.623137,1528095923.156562,18.533424,1,DDoS
udp,192.168.100.149,45298,192.168.100.6,80,6,0,360,0,INT,1528100905.780359,1528101001.801971,96.021614,1,DDoS
tcp,192.168.100.148,62182.0,192.168.100.6,80.0,4,1,616,60,RST,1528097077.167056,1528097128.897854,51.730797,1,DDoS
udp,192.168.100.149,53413,192.168.100.5,80,7,0,420,0,INT,1528100194.956468,1528100227.095671,32.139202,1,DDoS
tcp,192.168.100.147,33011.0,192.168.100.5,80.0,1,1,154,60,RST,1528096394.073248,1528096394.140395,0.067147,1,DDoS
