proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
udp,192.168.100.149,9488,192.168.100.3,80,5,0,300,0,INT,1528099605.80238,1528099614.610201,8.807821,1,DDoS
tcp,192.168.100.148,13251.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096510.364812,1528096543.600269,33.235458,1,DDoS
udp,192.168.100.147,17197.0,192.168.100.5,80.0,3,0,180,0,INT,1528100507.491589,1528100516.687298,9.195709,1,DDoS
udp,192.168.100.150,24619,192.168.100.7,80,2,0,120,0,INT,1528101601.136159,1528101605.996895,4.860736,1,DDoS
tcp,192.168.100.148,6609.0,192.168.100.7,80.0,6,0,924,0,REQ,1528097735.238886,1528097747.684452,12.445566,1,DDoS
tcp,192.168.100.148,54227.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096690.772778,1528096705.834665,15.061887,1,DDoS
tcp,192.168.100.149,56330.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096742.277825,1528096758.42563,16.147804,1,DDoS
tcp,192.168.100.148,59566.0,192.168.100.5,80.0,6,0,924,0,REQ,1528096549.561729,1528096564.890159,15.32843,1,DDoS
udp,192.168.100.148,29600.0,192.168.100.3,80.0,10,0,600,0,INT,1528099353.668838,1528099366.095842,12.427004,1,DDoS
tcp,192.168.100.150,45822.0,192.168.100.7,80.0,3,0,462,0,REQ,1528097980.668936,1528097996.465799,15.796863,1,DDoS
tcp,192.168.100.150,29018.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097752.810899,1528097755.903233,3.092334,1,DDoS
udp,192.168.100.150,3382,192.168.100.7,80,2,0,120,0,INT,1528101345.093102,1528101350.092736,4.999634,1,DDoS
udp,192.168.100.150,3395.0,192.168.100.5,80.0,2,0,120,0,INT,1528100368.990053,1528100375.939957,6.949904,1,DDoS
tcp,192.168.100.148,19355.0,192.168.100.3,80.0,8,3,950,180,RST,1528095865.172881,1528095899.82354,34.650658,1,DDoS
udp,192.168.100.147,39440,192.168.100.3,80,12,0,720,0,INT,1528099724.348888,1528099740.586037,16.237148,1,DDoS
tcp,192.168.100.149,47306.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096718.799885,1528096735.076818,16.276934,1,DDoS
